File,Line,RouteLiteral
Frontend/actions/partner/workflow.ts,260,/api/clinic/partner-orders/${orderId}/result
Frontend/actions/partner/workflow.ts,280,/api/clinic/partners/services${query ? 
Frontend/actions/partner/workflow.ts,302,/api/clinic/partners/services
Frontend/actions/partner/workflow.ts,320,/api/clinic/partners/${partnerId}/users
Frontend/actions/patient-app/cancel-booking-patient.ts,13,/api/clinic/bookings/${bookingId}/cancel
Frontend/actions/patient-app/get-my-bookings.ts,11,/api/clinic/bookings/my
Frontend/actions/patient-app/get-my-ticket.ts,10,/api/clinic/queue/my-ticket
Frontend/actions/patient-app/profile.ts,18,/api/clinic/patient-app/profiles/${patientId}
Frontend/actions/patient-app/profile.ts,34,/api/clinic/patient-app/profiles/${patientId}/visits?pageNumber=${pageNumber}&pageSize=${pageSize}
Frontend/actions/patient-app/profile.ts,46,/api/clinic/patient-app/profiles/${patientId}/summary
Frontend/actions/patient-app/profile.ts,57,/api/clinic/patient-app/profiles/${patientId}/queue-ticket
Frontend/actions/patient-app/profile.ts,69,/api/clinic/patient-app/profiles/${patientId}/bookings
Frontend/actions/patient-app/profile.ts,80,/api/clinic/patient-app/profiles/${patientId}/partner-orders
Frontend/actions/patient-app/profile.ts,92,/api/clinic/patient-credits/${patientId}/balance
Frontend/actions/patient-app/profile.ts,108,/api/clinic/patient-credits/${patientId}/history?pageNumber=${pageNumber}&pageSize=${pageSize}
Frontend/actions/patient-medical/documents.ts,16,/api/clinic/patients/${patientId}/medical-documents
Frontend/actions/patient-medical/documents.ts,28,/api/clinic/patients/${patientId}/medical-documents
Frontend/actions/patient-medical/documents.ts,47,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads
Frontend/actions/patient-medical/documents.ts,63,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads
Frontend/actions/patient-medical/documents.ts,86,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads/${threadId}/replies
Frontend/actions/patient-medical/documents.ts,109,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads/${threadId}/close
Frontend/actions/patient-medical/documents.ts,128,/api/clinic/patients/${patientId}/chronic-conditions
Frontend/actions/patient-medical/documents.ts,147,/api/clinic/patients/${patientId}/chronic-conditions
Frontend/actions/patient/add-subprofile.ts,20,/api/clinic/patients/${parentId}/profiles
Frontend/actions/patient/createPatient.ts,9,/api/clinic/patients
Frontend/actions/patient/delete-patient.ts,14,${process.env.NEXT_PUBLIC_API_URL}/api/clinic/patients/${id}
Frontend/actions/patient/get-chronic-conditions.ts,8,/api/clinic/patients/${patientId}/chronic-conditions
Frontend/actions/patient/get-patient-profile.ts,29,/api/clinic/patients/${patientId}
Frontend/actions/patient/get-patient-profile.ts,55,/api/clinic/patients/${patientId}/visits?${queryParams.toString()}
Frontend/actions/patient/get-patient-summary.ts,29,/api/clinic/patients/${patientId}/summary
Frontend/actions/patient/getPatient.ts,11,/api/clinic/patients/${patientId}
Frontend/actions/patient/getPatients.ts,21,/api/clinic/patients?${queryParams.toString()}
Frontend/actions/patient/update-patient.ts,18,/api/clinic/patients/${id}
Frontend/actions/patient/updateChronicConditions.ts,13,/api/clinic/patients/${patientId}/chronic-conditions
Frontend/actions/platform/create-tenant.ts,12,/api/platform/tenants
Frontend/actions/platform/delete-tenant.ts,8,/api/platform/tenants?${id}
Frontend/actions/platform/feature-flags.ts,11,/api/platform/feature-flags/${tenantId}
Frontend/actions/platform/feature-flags.ts,19,/api/platform/feature-flags/${tenantId}
Frontend/actions/platform/get-tenants.ts,9,/api/platform/tenants?pageNumber=1&pageSize=10000
Frontend/actions/platform/subscriptions.ts,18,/api/platform/subscriptions${query}
Frontend/actions/platform/subscriptions.ts,24,/api/platform/subscriptions
Frontend/actions/platform/subscriptions.ts,36,/api/platform/subscriptions/${id}/extend
Frontend/actions/platform/subscriptions.ts,48,/api/platform/subscriptions/${id}/cancel
Frontend/actions/platform/subscriptions.ts,60,/api/platform/subscriptions/${id}/mark-paid
Frontend/actions/platform/tenant-actions.ts,9,/api/platform/tenants/${id}/activate
Frontend/actions/platform/tenant-actions.ts,15,/api/platform/tenants/${id}/suspend
Frontend/actions/platform/tenant-actions.ts,21,/api/platform/tenants/${id}/block
Frontend/actions/prescription/create-prescription.ts,16,/api/clinic/visits/${visitId}/prescriptions
Frontend/actions/prescription/delete-prescription.ts,12,/api/clinic/visits/${visitId}/prescriptions/${prescriptionId}
Frontend/actions/prescription/update-prescription.ts,14,/api/clinic/visits/${visitId}/prescriptions/${prescriptionId}
Frontend/actions/public/landing.ts,17,/api/public/${slug}/landing
