HttpVerb,RouteTemplate,ControllerFile,MethodName,Status,FrontendMethod,FrontendRouteLiteral,FrontendFile,Note
POST,api/clinic/doctors/{id:guid}/disable,DoctorsController.cs,DisableDoctor,wired,POST,/api/clinic/doctors/${doctorId}/disable,Frontend/actions/doctor/toggle-doctor-status.ts:17,matched method and normalized route in actions
PUT,api/clinic/doctors/{id:guid}/services,DoctorsController.cs,UpdateServices,wired,PUT,/api/clinic/doctors/${doctorId}/services,Frontend/actions/doctor/get-doctor.ts:33,matched method and normalized route in actions
PUT,api/clinic/doctors/{id:guid}/visit-fields,DoctorsController.cs,UpdateVisitFields,wired,PUT,/api/clinic/doctors/${doctorId}/visit-fields,Frontend/actions/doctor/update-visit-fields.ts:13,matched method and normalized route in actions
GET,api/clinic/doctors/me/visit-fields,DoctorsController.cs,GetMyVisitFields,wired,GET,/api/clinic/doctors/me/visit-fields,Frontend/actions/doctor/get-my-visit-fields.ts:10,matched method and normalized route in actions
PUT,api/clinic/doctors/me/visit-fields,DoctorsController.cs,UpdateMyVisitFields,wired,PUT,/api/clinic/doctors/me/visit-fields,Frontend/actions/doctor/update-my-visit-fields.ts:24,matched method and normalized route in actions
GET,api/clinic/doctors/me/patients/{patientId:guid}/history,DoctorsController.cs,GetMyPatientHistory,wired,GET,/api/clinic/doctors/me/patients/${patientId}/history?${params.toString()},Frontend/actions/doctor/get-patient-history.ts:18,matched method and normalized route in actions
GET,api/clinic/doctors/me/patients,DoctorsController.cs,GetMyPatients,wired,GET,/api/clinic/doctors/me/patients,Frontend/actions/doctor/get-my-patients.ts:22,matched method and normalized route in actions
POST,api/clinic/expenses,ExpensesController.cs,Create,wired,POST,/api/clinic/expenses,Frontend/actions/finance/expenses.ts:33,matched method and normalized route in actions
PUT,api/clinic/expenses/{id:guid},ExpensesController.cs,Update,wired,PUT,/api/clinic/expenses/${id},Frontend/actions/finance/expenses.ts:47,matched method and normalized route in actions
DELETE,api/clinic/expenses/{id:guid},ExpensesController.cs,Delete,wired,DELETE,/api/clinic/expenses/${id},Frontend/actions/finance/expenses.ts:57,matched method and normalized route in actions
