HttpVerb,RouteLiteral,NormalizedRoute,FrontendFile,Line
GET,/api/clinic/invoices/,api/clinic/invoices,Frontend/actions/finance/invoices.ts,65
GET,/api/clinic/invoices/${invoiceId},api/clinic/invoices/{},Frontend/actions/finance/invoices.ts,65
POST,/api/clinic/invoices/,api/clinic/invoices,Frontend/actions/finance/invoices.ts,83
POST,/api/clinic/invoices/${invoiceId}/line-items,api/clinic/invoices/{}/line-items,Frontend/actions/finance/invoices.ts,83
POST,/api/clinic/invoices/,api/clinic/invoices,Frontend/actions/finance/invoices.ts,105
POST,/api/clinic/invoices/${invoiceId}/adjustments,api/clinic/invoices/{}/adjustments,Frontend/actions/finance/invoices.ts,105
POST,/api/clinic/invoices/,api/clinic/invoices,Frontend/actions/finance/invoices.ts,129
POST,/api/clinic/invoices/${invoiceId}/refund,api/clinic/invoices/{}/refund,Frontend/actions/finance/invoices.ts,129
GET,/api/clinic/invoices/,api/clinic/invoices,Frontend/actions/finance/invoices.ts,150
GET,/api/clinic/invoices/${invoiceId}/payments,api/clinic/invoices/{}/payments,Frontend/actions/finance/invoices.ts,150
GET,/api/clinic/finance/profit,api/clinic/finance/profit,Frontend/actions/finance/reports.ts,18
GET,/api/clinic/finance/profit?${params.toString()},api/clinic/finance/profit,Frontend/actions/finance/reports.ts,18
GET,/api/clinic/finance/daily,api/clinic/finance/daily,Frontend/actions/finance/reports.ts,30
GET,/api/clinic/finance/daily?${params.toString()},api/clinic/finance/daily,Frontend/actions/finance/reports.ts,30
GET,/api/clinic/finance/by-doctor,api/clinic/finance/by-doctor,Frontend/actions/finance/reports.ts,47
GET,/api/clinic/finance/by-doctor?${params.toString()},api/clinic/finance/by-doctor,Frontend/actions/finance/reports.ts,47
GET,/api/clinic/finance/monthly,api/clinic/finance/monthly,Frontend/actions/finance/reports.ts,56
GET,/api/clinic/finance/monthly?year=${year}&month=${month},api/clinic/finance/monthly,Frontend/actions/finance/reports.ts,56
GET,/api/clinic/finance/yearly,api/clinic/finance/yearly,Frontend/actions/finance/reports.ts,68
GET,/api/clinic/finance/yearly?year=${year},api/clinic/finance/yearly,Frontend/actions/finance/reports.ts,68
GET,/api/clinic/inventory/items,api/clinic/inventory/items,Frontend/actions/inventory/items.ts,35
GET,/api/clinic/inventory/items${toQueryString(params)},api/clinic/inventory/items,Frontend/actions/inventory/items.ts,35
GET,/api/clinic/inventory/items/,api/clinic/inventory/items,Frontend/actions/inventory/items.ts,49
GET,/api/clinic/inventory/items/${itemId},api/clinic/inventory/items/{},Frontend/actions/inventory/items.ts,49
POST,/api/clinic/inventory/items,api/clinic/inventory/items,Frontend/actions/inventory/items.ts,60
PUT,/api/clinic/inventory/items/,api/clinic/inventory/items,Frontend/actions/inventory/items.ts,78
PUT,/api/clinic/inventory/items/${itemId},api/clinic/inventory/items/{},Frontend/actions/inventory/items.ts,78
POST,/api/clinic/inventory/items/,api/clinic/inventory/items,Frontend/actions/inventory/items.ts,96
POST,/api/clinic/inventory/items/${itemId}/activation,api/clinic/inventory/items/{}/activation,Frontend/actions/inventory/items.ts,96
POST,/api/clinic/visits/,api/clinic/visits,Frontend/actions/labs/create-lab-partner-order.ts,24
POST,/api/clinic/visits/${visitId}/labs/${labRequestId}/partner-order,api/clinic/visits/{}/labs/{}/partner-order,Frontend/actions/labs/create-lab-partner-order.ts,24
POST,/api/clinic/visits/,api/clinic/visits,Frontend/actions/labs/create-lab-request.ts,15
POST,/api/clinic/visits/${visitId}/labs,api/clinic/visits/{}/labs,Frontend/actions/labs/create-lab-request.ts,15
DELETE,/api/clinic/visits/,api/clinic/visits,Frontend/actions/labs/delete-lab-request.ts,13
DELETE,/api/clinic/visits/${visitId}/labs/${labId},api/clinic/visits/{}/labs/{},Frontend/actions/labs/delete-lab-request.ts,13
GET,/api/clinic/visits/,api/clinic/visits,Frontend/actions/labs/lab-requests.ts,13
GET,/api/clinic/visits/${visitId}/labs,api/clinic/visits/{}/labs,Frontend/actions/labs/lab-requests.ts,13
PUT,/api/clinic/visits/,api/clinic/visits,Frontend/actions/labs/lab-requests.ts,26
PUT,/api/clinic/visits/${visitId}/labs/${labId},api/clinic/visits/{}/labs/{},Frontend/actions/labs/lab-requests.ts,26
POST,/api/clinic/visits/,api/clinic/visits,Frontend/actions/labs/lab-requests.ts,49
POST,/api/clinic/visits/${visitId}/labs/${labId}/result,api/clinic/visits/{}/labs/{}/result,Frontend/actions/labs/lab-requests.ts,49
GET,/api/clinic/marketplace/orders,api/clinic/marketplace/orders,Frontend/actions/marketplace/orders.ts,31
GET,/api/clinic/marketplace/orders${toQueryString(params)},api/clinic/marketplace/orders,Frontend/actions/marketplace/orders.ts,31
GET,/api/clinic/marketplace/orders/,api/clinic/marketplace/orders,Frontend/actions/marketplace/orders.ts,45
GET,/api/clinic/marketplace/orders/${orderId},api/clinic/marketplace/orders/{},Frontend/actions/marketplace/orders.ts,45
POST,/api/clinic/marketplace/orders/,api/clinic/marketplace/orders,Frontend/actions/marketplace/orders.ts,57
POST,/api/clinic/marketplace/orders/${orderId}/status,api/clinic/marketplace/orders/{}/status,Frontend/actions/marketplace/orders.ts,57
GET,/api/clinic/messages,api/clinic/messages,Frontend/actions/messages/messages.ts,28
GET,/api/clinic/messages${query ? ,api/clinic/messages${query,Frontend/actions/messages/messages.ts,28
GET,/api/clinic/messages/,api/clinic/messages,Frontend/actions/messages/messages.ts,39
GET,/api/clinic/messages/${id},api/clinic/messages/{},Frontend/actions/messages/messages.ts,39
POST,/api/clinic/messages/send,api/clinic/messages/send,Frontend/actions/messages/messages.ts,50
POST,/api/clinic/messages/,api/clinic/messages,Frontend/actions/messages/messages.ts,67
POST,/api/clinic/messages/${id}/retry,api/clinic/messages/{}/retry,Frontend/actions/messages/messages.ts,67
POST,/api/clinic/doctor-notes,api/clinic/doctor-notes,Frontend/actions/notes/notes.ts,8
GET,/api/clinic/doctor-notes,api/clinic/doctor-notes,Frontend/actions/notes/notes.ts,17
GET,/api/clinic/doctor-notes/unread,api/clinic/doctor-notes/unread,Frontend/actions/notes/notes.ts,28
POST,/api/clinic/doctor-notes/,api/clinic/doctor-notes,Frontend/actions/notes/notes.ts,38
POST,/api/clinic/doctor-notes/${noteId}/read,api/clinic/doctor-notes/{}/read,Frontend/actions/notes/notes.ts,38
POST,/api/clinic/notifications/subscribe,api/clinic/notifications/subscribe,Frontend/actions/notifications/notifications.ts,18
DELETE,/api/clinic/notifications/,api/clinic/notifications,Frontend/actions/notifications/notifications.ts,35
DELETE,/api/clinic/notifications/${id},api/clinic/notifications/{},Frontend/actions/notifications/notifications.ts,35
GET,/api/clinic/notifications/my,api/clinic/notifications/my,Frontend/actions/notifications/notifications.ts,50
POST,/api/clinic/notifications/send,api/clinic/notifications/send,Frontend/actions/notifications/notifications.ts,61
GET,/api/clinic/notifications/in-app,api/clinic/notifications/in-app,Frontend/actions/notifications/notifications.ts,78
GET,/api/clinic/notifications/in-app${query ? ,api/clinic/notifications/in-app${query,Frontend/actions/notifications/notifications.ts,78
POST,/api/clinic/notifications/in-app/,api/clinic/notifications/in-app,Frontend/actions/notifications/notifications.ts,92
POST,/api/clinic/notifications/in-app/${id}/read,api/clinic/notifications/in-app/{}/read,Frontend/actions/notifications/notifications.ts,92
POST,/api/clinic/notifications/in-app/mark-all-read,api/clinic/notifications/in-app/mark-all-read,Frontend/actions/notifications/notifications.ts,107
GET,/api/clinic/partners,api/clinic/partners,Frontend/actions/partner/workflow.ts,69
GET,/api/clinic/partners${query},api/clinic/partners,Frontend/actions/partner/workflow.ts,69
POST,/api/clinic/partners,api/clinic/partners,Frontend/actions/partner/workflow.ts,77
PUT,/api/clinic/partners/,api/clinic/partners,Frontend/actions/partner/workflow.ts,95
PUT,/api/clinic/partners/${partnerId},api/clinic/partners/{},Frontend/actions/partner/workflow.ts,95
POST,/api/clinic/partners/,api/clinic/partners,Frontend/actions/partner/workflow.ts,113
POST,/api/clinic/partners/${partnerId}/activation,api/clinic/partners/{}/activation,Frontend/actions/partner/workflow.ts,113
GET,/api/clinic/partners/contracts,api/clinic/partners/contracts,Frontend/actions/partner/workflow.ts,136
GET,/api/clinic/partners/contracts${query ? ,api/clinic/partners/contracts${query,Frontend/actions/partner/workflow.ts,136
POST,/api/clinic/partners/contracts,api/clinic/partners/contracts,Frontend/actions/partner/workflow.ts,147
